"productkey","orderdatekey","customerkey","totalproductcost","salesamount"
381,"20210101",16942,"? 605.65","1000.44"
375,"20210101",15114,"? 1,320.68","2181.56"
369,"20210101",15116,"? 1,518.79","2443.35"
337,"20210101",20576,"? 486.71","782.99"
370,"20210101",13059,"? 1,518.79","2443.35"
370,"20210101",13085,"? 1,518.79","2443.35"
352,"20210101",20186,"? 1,117.86","2071.42"
337,"20210101",15199,"? 486.71","782.99"
377,"20210101",21200,"? 1,320.68","2181.56"
387,"20210102",19172,"? 605.65","1000.44"
356,"20210102",11484,"? 1,117.86","2071.42"
369,"20210102",13592,"? 1,518.79","2443.35"
373,"20210102",13779,"? 1,320.68","2181.56"
371,"20210102",24778,"? 1,320.68","2181.56"
368,"20210102",13093,"? 1,518.79","2443.35"
375,"20210102",24976,"? 1,320.68","2181.56"
375,"20210102",25046,"? 1,320.68","2181.56"
368,"20210102",25048,"? 1,518.79","2443.35"
360,"20210102",12570,"? 1,105.81","2049.10"
362,"20210103",11604,"? 1,105.81","2049.10"
371,"20210103",13667,"? 1,320.68","2181.56"
370,"20210103",16046,"? 1,518.79","2443.35"
385,"20210103",17095,"? 605.65","1000.44"
368,"20210103",12918,"? 1,518.79","2443.35"
368,"20210103",28663,"? 1,518.79","2443.35"
369,"20210103",21191,"? 1,518.79","2443.35"
373,"20210103",20999,"? 1,320.68","2181.56"
370,"20210103",21002,"? 1,518.79","2443.35"
358,"20210103",12354,"? 1,105.81","2049.10"
321,"20210103",26019,"? 486.71","782.99"
379,"20210104",15100,"? 1,320.68","2181.56"
371,"20210104",15101,"? 1,320.68","2181.56"
385,"20210104",13992,"? 605.65","1000.44"
375,"20210104",24781,"? 1,320.68","2181.56"
375,"20210104",13060,"? 1,320.68","2181.56"
371,"20210104",13226,"? 1,320.68","2181.56"
360,"20210104",12341,"? 1,105.81","2049.10"
354,"20210104",12346,"? 1,117.86","2071.42"
362,"20210104",12576,"? 1,105.81","2049.10"
373,"20210105",15699,"? 1,320.68","2181.56"
379,"20210105",12980,"? 1,320.68","2181.56"
370,"20210105",28766,"? 1,518.79","2443.35"
358,"20210105",20206,"? 1,105.81","2049.10"
373,"20210105",21183,"? 1,320.68","2181.56"
370,"20210105",21199,"? 1,518.79","2443.35"
369,"20210106",13056,"? 1,518.79","2443.35"
368,"20210106",13057,"? 1,518.79","2443.35"
360,"20210106",26127,"? 1,105.81","2049.10"
360,"20210106",26252,"? 1,105.81","2049.10"
354,"20210106",12350,"? 1,117.86","2071.42"
377,"20210107",16054,"? 1,320.68","2181.56"
377,"20210107",12934,"? 1,320.68","2181.56"
343,"20210107",19931,"? 486.71","782.99"
379,"20210107",21215,"? 1,320.68","2181.56"
321,"20210107",25958,"? 486.71","782.99"
343,"20210107",26023,"? 486.71","782.99"
383,"20210107",13993,"? 605.65","1000.44"
354,"20210108",26174,"? 1,117.86","2071.42"
387,"20210108",18130,"? 605.65","1000.44"
373,"20210108",16033,"? 1,320.68","2181.56"
387,"20210108",13986,"? 605.65","1000.44"
325,"20210108",19924,"? 486.71","782.99"
368,"20210108",13063,"? 1,518.79","2443.35"
375,"20210108",13202,"? 1,320.68","2181.56"
360,"20210108",26238,"? 1,105.81","2049.10"
333,"20210108",15191,"? 486.71","782.99"
369,"20210108",21216,"? 1,518.79","2443.35"
362,"20210108",12573,"? 1,105.81","2049.10"
339,"20210108",26020,"? 486.71","782.99"
377,"20210109",15702,"? 1,320.68","2181.56"
370,"20210109",15357,"? 1,518.79","2443.35"
377,"20210109",13068,"? 1,320.68","2181.56"
375,"20210109",13161,"? 1,320.68","2181.56"
371,"20210109",13173,"? 1,320.68","2181.56"
375,"20210109",13225,"? 1,320.68","2181.56"
352,"20210109",26249,"? 1,117.86","2071.42"
360,"20210109",12356,"? 1,105.81","2049.10"
356,"20210110",11568,"? 1,117.86","2071.42"
352,"20210110",11610,"? 1,117.86","2071.42"
377,"20210110",15929,"? 1,320.68","2181.56"
379,"20210110",12942,"? 1,320.68","2181.56"
379,"20210110",12949,"? 1,320.68","2181.56"
371,"20210110",12975,"? 1,320.68","2181.56"
337,"20210110",19069,"? 486.71","782.99"
375,"20210110",13178,"? 1,320.68","2181.56"
373,"20210110",13190,"? 1,320.68","2181.56"
354,"20210110",26201,"? 1,117.86","2071.42"
333,"20210110",15195,"? 486.71","782.99"
358,"20210110",12342,"? 1,105.81","2049.10"
358,"20210111",28506,"? 1,105.81","2049.10"
379,"20210111",12930,"? 1,320.68","2181.56"
369,"20210111",13016,"? 1,518.79","2443.35"
373,"20210111",13083,"? 1,320.68","2181.56"
375,"20210111",13214,"? 1,320.68","2181.56"
373,"20210111",24977,"? 1,320.68","2181.56"
362,"20210111",26234,"? 1,105.81","2049.10"
360,"20210111",26247,"? 1,105.81","2049.10"
371,"20210111",21197,"? 1,320.68","2181.56"
368,"20210111",21201,"? 1,518.79","2443.35"
371,"20210112",13662,"? 1,320.68","2181.56"
370,"20210112",13019,"? 1,518.79","2443.35"
368,"20210112",25094,"? 1,518.79","2443.35"
337,"20210112",15188,"? 486.71","782.99"
379,"20210113",13595,"? 1,320.68","2181.56"
323,"20210113",19052,"? 486.71","782.99"
373,"20210113",13055,"? 1,320.68","2181.56"
370,"20210113",21195,"? 1,518.79","2443.35"
354,"20210113",12339,"? 1,117.86","2071.42"
360,"20210113",12347,"? 1,105.81","2049.10"
371,"20210114",13766,"? 1,320.68","2181.56"
370,"20210114",15622,"? 1,518.79","2443.35"
369,"20210114",12941,"? 1,518.79","2443.35"
371,"20210114",13069,"? 1,320.68","2181.56"
379,"20210114",13152,"? 1,320.68","2181.56"
371,"20210114",13165,"? 1,320.68","2181.56"
375,"20210114",25093,"? 1,320.68","2181.56"
370,"20210114",13230,"? 1,518.79","2443.35"
356,"20210114",26121,"? 1,117.86","2071.42"
369,"20210114",21211,"? 1,518.79","2443.35"
368,"20210114",21001,"? 1,518.79","2443.35"
352,"20210115",28510,"? 1,117.86","2071.42"
377,"20210115",24824,"? 1,320.68","2181.56"
325,"20210115",15155,"? 486.71","782.99"
323,"20210115",15193,"? 486.71","782.99"
385,"20210115",24608,"? 605.65","1000.44"
354,"20210115",12574,"? 1,117.86","2071.42"
360,"20210115",12575,"? 1,105.81","2049.10"
373,"20210116",13799,"? 1,320.68","2181.56"
385,"20210116",13990,"? 605.65","1000.44"
369,"20210116",24786,"? 1,518.79","2443.35"
337,"20210116",19910,"? 486.71","782.99"
369,"20210116",13066,"? 1,518.79","2443.35"
352,"20210116",20188,"? 1,117.86","2071.42"
354,"20210116",12360,"? 1,117.86","2071.42"
379,"20210116",12923,"? 1,320.68","2181.56"
371,"20210117",13768,"? 1,320.68","2181.56"
377,"20210117",13769,"? 1,320.68","2181.56"
381,"20210117",14003,"? 605.65","1000.44"
375,"20210117",12922,"? 1,320.68","2181.56"
375,"20210117",24817,"? 1,320.68","2181.56"
369,"20210117",13058,"? 1,518.79","2443.35"
371,"20210117",13174,"? 1,320.68","2181.56"
321,"20210117",15166,"? 486.71","782.99"
375,"20210117",21168,"? 1,320.68","2181.56"
358,"20210117",12343,"? 1,105.81","2049.10"
358,"20210118",11603,"? 1,105.81","2049.10"
373,"20210118",13575,"? 1,320.68","2181.56"
371,"20210118",13793,"? 1,320.68","2181.56"
371,"20210118",16201,"? 1,320.68","2181.56"
370,"20210118",24960,"? 1,518.79","2443.35"
370,"20210118",13221,"? 1,518.79","2443.35"
360,"20210118",20209,"? 1,105.81","2049.10"
333,"20210118",15194,"? 486.71","782.99"
368,"20210118",21192,"? 1,518.79","2443.35"
375,"20210118",20997,"? 1,320.68","2181.56"
379,"20210119",15117,"? 1,320.68","2181.56"
370,"20210119",12935,"? 1,518.79","2443.35"
371,"20210119",13064,"? 1,320.68","2181.56"
370,"20210119",13067,"? 1,518.79","2443.35"
370,"20210119",13205,"? 1,518.79","2443.35"
371,"20210119",21180,"? 1,320.68","2181.56"
377,"20210119",21214,"? 1,320.68","2181.56"
362,"20210120",11550,"? 1,105.81","2049.10"
362,"20210120",11575,"? 1,105.81","2049.10"
373,"20210120",16045,"? 1,320.68","2181.56"
375,"20210120",15456,"? 1,320.68","2181.56"
369,"20210120",12981,"? 1,518.79","2443.35"
377,"20210120",13029,"? 1,320.68","2181.56"
369,"20210120",13189,"? 1,518.79","2443.35"
379,"20210121",13577,"? 1,320.68","2181.56"
368,"20210121",13605,"? 1,518.79","2443.35"
370,"20210121",13800,"? 1,518.79","2443.35"
385,"20210121",19186,"? 605.65","1000.44"
377,"20210121",21167,"? 1,320.68","2181.56"
381,"20210121",24606,"? 605.65","1000.44"
362,"20210122",11470,"? 1,105.81","2049.10"
375,"20210122",15084,"? 1,320.68","2181.56"
370,"20210122",12926,"? 1,518.79","2443.35"
369,"20210122",25061,"? 1,518.79","2443.35"
379,"20210122",13224,"? 1,320.68","2181.56"
335,"20210122",15167,"? 486.71","782.99"
354,"20210122",12572,"? 1,117.86","2071.42"
343,"20210122",25960,"? 486.71","782.99"
352,"20210122",26241,"? 1,117.86","2071.42"
368,"20210123",13565,"? 1,518.79","2443.35"
373,"20210123",15933,"? 1,320.68","2181.56"
377,"20210123",28669,"? 1,320.68","2181.56"
362,"20210123",12340,"? 1,105.81","2049.10"
325,"20210123",26021,"? 486.71","782.99"
383,"20210124",19173,"? 605.65","1000.44"
